time,epoch,live average fitness,average fitness of breeders,%wall deaths,killTotal
100,1,2700.000000,0.000000,100.000000,0
200,1,3400.000000,0.000000,100.000000,0
300,1,3787.000000,49.000000,75.000000,0
400,1,4050.000000,57.000000,70.000000,1
500,1,3507.000000,35.000000,61.000000,1
600,1,3878.000000,35.000000,64.000000,2
700,1,4156.000000,39.000000,62.000000,2
800,1,3736.000000,32.000000,57.000000,3
900,1,3759.000000,32.000000,63.000000,3
1000,1,3662.000000,29.000000,62.000000,3
1100,1,3684.000000,30.000000,60.000000,3
1200,1,3911.000000,36.000000,55.000000,3
1300,1,3827.000000,35.000000,51.000000,4
1400,1,3854.000000,35.000000,54.000000,5
1500,1,3757.000000,36.000000,54.000000,6
1600,1,3702.000000,36.000000,55.000000,6
1700,1,3784.000000,35.000000,55.000000,8
1800,1,4107.000000,38.000000,55.000000,9
1900,1,4285.000000,42.000000,54.000000,9
2000,1,4330.000000,42.000000,54.000000,9
2100,2,4330.000000,42.000000,54.000000,9
2200,2,4263.000000,40.000000,53.000000,9
2300,2,4123.000000,38.000000,50.000000,9
2400,2,4305.000000,38.000000,50.000000,9
2500,2,4308.000000,38.000000,50.000000,9
2600,2,4266.000000,38.000000,46.000000,9
2700,2,4229.000000,36.000000,41.000000,9
2800,2,4143.000000,36.000000,43.000000,10
2900,2,3935.000000,38.000000,40.000000,10
3000,2,3986.000000,38.000000,41.000000,11
3100,2,4005.000000,38.000000,43.000000,13
3200,2,3758.000000,38.000000,41.000000,13
3300,2,3823.000000,38.000000,43.000000,13
3400,2,3964.000000,41.000000,44.000000,15
3500,2,3970.000000,42.000000,39.000000,15
3600,2,4073.000000,43.000000,40.000000,15
3700,2,4101.000000,43.000000,40.000000,15
3800,2,3970.000000,43.000000,41.000000,15
3900,2,3894.000000,44.000000,40.000000,15
4000,2,3975.000000,47.000000,38.000000,15
4100,3,3933.000000,48.000000,37.000000,15
4200,3,3898.000000,48.000000,37.000000,16
4300,3,3998.000000,48.000000,33.000000,16
4400,3,3886.000000,48.000000,32.000000,16
4500,3,3850.000000,50.000000,32.000000,16
4600,3,3680.000000,50.000000,29.000000,16
